Motif1	Motif2	N	Mean_real	Stdev_real	Mean_pred	Stdev_pred
MA0265.3.ABF1	MA0363.3.REB1	773	14.46	1.83	14.67	1.25
MA0363.3.REB1	MA0419.1.YAP7	614	13.5	2.04	13.76	1.52
MA0363.3.REB1	MA0435.2.YPR015C	962	13.41	2.01	13.62	1.51
MA0363.3.REB1	MA0347.3.NRG1	1123	13.57	1.92	13.72	1.47
MA0363.3.REB1	MA0350.2.TOD6	985	13.43	1.94	13.67	1.53
MA0363.3.REB1	MA0372.2.RPH1	728	13.5	1.98	13.69	1.42
MA0363.3.REB1	MA0412.3.UME6	4678	13.71	1.96	14	1.39
MA0363.3.REB1	MA0403.3.TBF1	1081	13.87	1.93	14.13	1.31
MA0363.3.REB1	MA0393.1.STE12	641	13.96	1.89	14.14	1.35
MA0363.3.REB1	MA0413.2.USV1	1329	13.91	1.95	14.17	1.32
MA0363.3.REB1	MA0384.2.SNT2	2044	14.09	1.74	14.39	1.14
MA0363.3.REB1	MA0359.3.RAP1	1707	13.93	1.96	14.28	1.22
MA0363.3.REB1	MA0421.1.NSI1	20410	13.96	1.92	14.21	1.36
MA0363.3.REB1	MA0320.1.IME1	1419	14.08	1.76	14.32	1.24
MA0363.3.REB1	MA0405.1.TEA1	1162	14.28	1.67	14.49	1.03
MA0363.3.REB1	MA0281.3.CBF1	588	14.1	1.68	14.37	1.05
MA0363.3.REB1	MA0409.1.TYE7	435	14.16	1.61	14.42	0.94
MA0363.3.REB1	MA0353.1.PDR3	552	14.07	1.88	14.33	1.21
MA0363.3.REB1	MA0265.3.ABF1	773	14.46	1.83	14.67	1.25
MA0363.3.REB1	MA0363.3.REB1	75625	13.74	1.97	14	1.42
